source_id,label,n_obs,t_span,period_d
165430427867321600,ECL,108,920.832,1.8330428019349412
192352927853064576,ECL,119,972.151,0.293968583773473
204625195603150080,DSCT|GDOR|SXPHE,106,892.549,
257552322410796160,CEP,187,926.676,3.758064463686772
358808306715420928,DSCT|GDOR|SXPHE,59,930.938,
395955100905397376,RS,208,994.873,
428166732847758464,ECL,158,991.872,1.442438929277546
431470735238640256,CEP,148,989.123,1.7470281786021324
523028855183898496,CEP,173,954.672,7.924158799257735
528126740842692864,LPV,146,987.873,932.5991260080078
563437522406679040,RS,133,981.125,
613276593490475648,RR,97,935.502,0.7113893171147505
1436977073763592832,RS,116,938.553,
1479499620818605568,RS,332,949.196,
1554015379255327360,LPV,220,997.275,206.87022710761255
1754733116694057472,LPV,134,926.715,
1793021096572761216,RR,89,902.312,0.6479257128559746
1830975108398833152,DSCT|GDOR|SXPHE,137,922.875,
1846955616548246272,RS,190,922.873,
1849917834014435968,DSCT|GDOR|SXPHE,141,898.376,
1871793996549357696,DSCT|GDOR|SXPHE,167,918.857,
1959388548869566208,ECL,186,1019.408,0.289605447736891
1961284519234480640,ECL,167,1014.154,31.30637049076659
1976682831682628608,ECL,146,1006.074,0.3127605748459236
1980691861548163328,ECL,171,1007.402,0.4222674802470773
1998384927774603520,CEP,158,991.874,4.734929939581752
2025493520099527680,LPV,172,920.116,497.7949741005475
2028153174326804864,CEP,177,920.618,2.667982170739926
2031206243242726784,ECL,163,920.441,0.818369684411898
2039260372058781568,RS,163,918.936,
2045890427173387136,DSCT|GDOR|SXPHE,135,953.903,
2052724338608669056,DSCT|GDOR|SXPHE,141,916.677,
2058857380129393152,CEP,145,856.636,5.759373192005169
2059322610979414656,DSCT|GDOR|SXPHE,151,918.683,
2067435598026004992,CEP,146,917.854,6.211044967372635
2105991931758844544,RS,132,949.066,
2109445218605671040,DSCT|GDOR|SXPHE,141,947.328,
2135078343641059968,DSCT|GDOR|SXPHE,122,949.982,
2181297444490294400,ECL,116,952.12,23.397778043459525
2421625672427564672,RR,114,889.038,0.5915666054716581
2550369825386156544,ECL,138,876.859,0.9290182928113524
2740035546817737472,RR,120,1019.815,0.5790342418081602
2841740307963987328,RS,163,1012.815,
2932049760673899648,DSCT|GDOR|SXPHE,190,957.25,
3003588415277196928,ECL,73,924.202,1.3025321976827418
3034948106113453184,DSCT|GDOR|SXPHE,131,959.515,
3035188692998998144,ECL,169,933.275,2.2643607611560963
3036295557608760320,DSCT|GDOR|SXPHE,113,925.385,
3038272921891549056,ECL,178,926.213,1.2092604369440851
3054128807276449408,DSCT|GDOR|SXPHE,143,960.52,
3059670659421261440,DSCT|GDOR|SXPHE,82,961.2,
3060539136167915648,DSCT|GDOR|SXPHE,91,961.349,
3085198570636708096,DSCT|GDOR|SXPHE,146,962.03,
3107985777325710976,DSCT|GDOR|SXPHE,76,961.274,
3126803472156831104,DSCT|GDOR|SXPHE,74,962.102,
3129520708985933056,DSCT|GDOR|SXPHE,67,963.21,
3133020072242256256,DSCT|GDOR|SXPHE,62,963.61,
3162853155596832512,DSCT|GDOR|SXPHE,58,965.62,
3242469174817003392,RS,85,912.629,
3288367222567339264,DSCT|GDOR|SXPHE,141,879.268,
3289064587816254848,DSCT|GDOR|SXPHE,121,862.588,
3324381588498950016,DSCT|GDOR|SXPHE,73,962.783,
3358223521310772096,ECL,50,946.725,0.4814333986012472
3376293616955728768,DSCT|GDOR|SXPHE,69,966.728,
3382761189166136448,DSCT|GDOR|SXPHE,80,967.881,
3409600749032785792,RR,81,885.586,0.5398197108989949
3435826948919269504,RR,87,970.566,0.4947685943134471
3475356213004133760,RS,163,1005.214,
3495304175724676608,RR,98,1005.462,0.5828561277018383
3838308716479523200,RR,148,929.98,0.5700119604568963
3870798116849320576,RS,70,936.183,
4035395385542536832,ECL,107,937.95,0.2813656638892227
4036499565747633792,RR,99,936.698,0.59817468210743
4041143627978922112,LPV,89,966.247,305.10225331645154
4043358495454556672,LPV,118,968.319,
4044607948601467392,RR,92,970.647,0.7161502973134444
4045782093982197632,RR,87,970.145,0.5817141447506726
4048201981595426304,LPV,64,969.818,594.3827572694374
4051910015838112640,ECL,83,968.564,0.4253078830456623
4053155758324798976,ECL,52,967.811,0.2461549221931281
4054065638386109184,LPV,96,966.567,
4054152121853525376,LPV,123,965.316,
4056273663891331456,LPV,120,967.316,
4056595614803239296,LPV,117,966.638,
4059739981787564416,LPV,85,919.58,
4060434873022771072,LPV,81,919.403,
4062549096449699200,CEP,150,966.99,1.18568560042478
4063099363357022336,LPV,61,967.063,
4064694862121583872,LPV,68,967.562,637.9806471766542
4065138927439037440,LPV,69,799.894,
4066205861668528128,LPV,68,966.735,
4067121033299563392,LPV,102,964.132,
4068068777965148800,CEP,112,930.5,20.491703724219292
4070665828827342208,LPV,84,964.553,296.834573641844
4086043598377794176,RR,77,967.38,0.4959565636084532
4091214532850177152,ECL,54,966.305,0.4440965113463843
4092518927283728640,ECL,66,948.623,0.3918000346309182
4094833644101098624,RS,73,965.376,
4107542692927920640,LPV,176,919.58,
4107599317762485760,LPV,118,919.58,
4109421586380056704,RR,128,885.02,0.6098441718529748
4112122257520213632,RR,101,918.754,0.5331602652255445
4117352909212478592,RR,122,962.802,0.5586328600363315
4117830887528689920,LPV,102,917.071,196.1251430998242
4121873452554334720,CEP,191,916.141,1.817557119021573
4146485573608707712,LPV,70,964.046,151.31725004725405
4153495819231368064,LPV,72,963.868,
4158881948737447552,LPV,82,927.73,436.57440105603854
4167011011845117440,RR,232,957.709,0.5660247090982677
4184720708196128000,ECL,84,966.374,0.3133860923713998
4229457091843346688,RR,182,930.23,0.5214820654798439
4248550798466136704,LPV,168,961.022,
4248610069014341888,RS,172,927.721,
4269023464517326336,LPV,125,961.275,
4284264890337949056,LPV,81,960.271,
4286309299092003712,ECL,69,960.094,0.3749140179545923
4304816381893721088,DSCT|GDOR|SXPHE,127,924.96,
4307711185527221376,LPV,71,960.445,
4315024861996104832,RR,129,959.69,0.5564197605786877
4316138980864146688,LPV,128,959.262,
4354221459387010304,RR,123,911.878,0.6279693481964705
4372012519597845376,LPV,126,959.598,175.06061751701836
4375826965954223616,DSCT|GDOR|SXPHE,120,959.021,
4478756510047227008,RS,96,959.015,
4502966274316169344,DSCT|GDOR|SXPHE,160,956.574,0.0460392591201247
4510782083999975040,ECL,98,958.08,1.2351733237772309
4512544193138515072,ECL,235,921.374,0.4658536285592429
